MacRom UTF-8 NFC                                             UTF-8 NFD
[00]   [00] U+0000                                           [00] U+0000
[01]   [01] U+0001                                           [01] U+0001
[02]   [02] U+0002                                           [02] U+0002
[03]   [03] U+0003                                           [03] U+0003
[04]   [04] U+0004                                           [04] U+0004
[05]   [05] U+0005                                           [05] U+0005
[06]   [06] U+0006                                           [06] U+0006
[07]   [07] U+0007                                           [07] U+0007
[08]   [08] U+0008                                           [08] U+0008
[09]   [09] U+0009                                           [09] U+0009
[0A]   [0A] U+000A                                           [0A] U+000A
[0B]   [0B] U+000B                                           [0B] U+000B
[0C]   [0C] U+000C                                           [0C] U+000C
[0D]   [0D] U+000D                                           [0D] U+000D
[0E]   [0E] U+000E                                           [0E] U+000E
[0F]   [0F] U+000F                                           [0F] U+000F
[10]   [10] U+0010                                           [10] U+0010
[11]   [11] U+0011                                           [11] U+0011
[12]   [12] U+0012                                           [12] U+0012
[13]   [13] U+0013                                           [13] U+0013
[14]   [14] U+0014                                           [14] U+0014
[15]   [15] U+0015                                           [15] U+0015
[16]   [16] U+0016                                           [16] U+0016
[17]   [17] U+0017                                           [17] U+0017
[18]   [18] U+0018                                           [18] U+0018
[19]   [19] U+0019                                           [19] U+0019
[1A]   [1A] U+001A                                           [1A] U+001A
[1B]   [1B] U+001B                                           [1B] U+001B
[1C]   [1C] U+001C                                           [1C] U+001C
[1D]   [1D] U+001D                                           [1D] U+001D
[1E]   [1E] U+001E                                           [1E] U+001E
[1F]   [1F] U+001F                                           [1F] U+001F
[20]   [20] SPACE                                            [20] SPACE
[21]   [21] EXCLAMATION MARK                                 [21] EXCLAMATION MARK
[22]   [22] QUOTATION MARK                                   [22] QUOTATION MARK
[23]   [23] NUMBER SIGN                                      [23] NUMBER SIGN
[24]   [24] DOLLAR SIGN                                      [24] DOLLAR SIGN
[25]   [25] PERCENT SIGN                                     [25] PERCENT SIGN
[26]   [26] AMPERSAND                                        [26] AMPERSAND
[27]   [27] APOSTROPHE                                       [27] APOSTROPHE
[28]   [28] LEFT PARENTHESIS                                 [28] LEFT PARENTHESIS
[29]   [29] RIGHT PARENTHESIS                                [29] RIGHT PARENTHESIS
[2A]   [2A] ASTERISK                                         [2A] ASTERISK
[2B]   [2B] PLUS SIGN                                        [2B] PLUS SIGN
[2C]   [2C] COMMA                                            [2C] COMMA
[2D]   [2D] HYPHEN-MINUS                                     [2D] HYPHEN-MINUS
[2E]   [2E] FULL STOP                                        [2E] FULL STOP
[2F]   [2F] SOLIDUS                                          [2F] SOLIDUS
[30]   [30] DIGIT ZERO                                       [30] DIGIT ZERO
[31]   [31] DIGIT ONE                                        [31] DIGIT ONE
[32]   [32] DIGIT TWO                                        [32] DIGIT TWO
[33]   [33] DIGIT THREE                                      [33] DIGIT THREE
[34]   [34] DIGIT FOUR                                       [34] DIGIT FOUR
[35]   [35] DIGIT FIVE                                       [35] DIGIT FIVE
[36]   [36] DIGIT SIX                                        [36] DIGIT SIX
[37]   [37] DIGIT SEVEN                                      [37] DIGIT SEVEN
[38]   [38] DIGIT EIGHT                                      [38] DIGIT EIGHT
[39]   [39] DIGIT NINE                                       [39] DIGIT NINE
[3A]   [3A] COLON                                            [3A] COLON
[3B]   [3B] SEMICOLON                                        [3B] SEMICOLON
[3C]   [3C] LESS-THAN SIGN                                   [3C] LESS-THAN SIGN
[3D]   [3D] EQUALS SIGN                                      [3D] EQUALS SIGN
[3E]   [3E] GREATER-THAN SIGN                                [3E] GREATER-THAN SIGN
[3F]   [3F] QUESTION MARK                                    [3F] QUESTION MARK
[40]   [40] COMMERCIAL AT                                    [40] COMMERCIAL AT
[41]   [41] LATIN CAPITAL LETTER A                           [41] LATIN CAPITAL LETTER A
[42]   [42] LATIN CAPITAL LETTER B                           [42] LATIN CAPITAL LETTER B
[43]   [43] LATIN CAPITAL LETTER C                           [43] LATIN CAPITAL LETTER C
[44]   [44] LATIN CAPITAL LETTER D                           [44] LATIN CAPITAL LETTER D
[45]   [45] LATIN CAPITAL LETTER E                           [45] LATIN CAPITAL LETTER E
[46]   [46] LATIN CAPITAL LETTER F                           [46] LATIN CAPITAL LETTER F
[47]   [47] LATIN CAPITAL LETTER G                           [47] LATIN CAPITAL LETTER G
[48]   [48] LATIN CAPITAL LETTER H                           [48] LATIN CAPITAL LETTER H
[49]   [49] LATIN CAPITAL LETTER I                           [49] LATIN CAPITAL LETTER I
[4A]   [4A] LATIN CAPITAL LETTER J                           [4A] LATIN CAPITAL LETTER J
[4B]   [4B] LATIN CAPITAL LETTER K                           [4B] LATIN CAPITAL LETTER K
[4C]   [4C] LATIN CAPITAL LETTER L                           [4C] LATIN CAPITAL LETTER L
[4D]   [4D] LATIN CAPITAL LETTER M                           [4D] LATIN CAPITAL LETTER M
[4E]   [4E] LATIN CAPITAL LETTER N                           [4E] LATIN CAPITAL LETTER N
[4F]   [4F] LATIN CAPITAL LETTER O                           [4F] LATIN CAPITAL LETTER O
[50]   [50] LATIN CAPITAL LETTER P                           [50] LATIN CAPITAL LETTER P
[51]   [51] LATIN CAPITAL LETTER Q                           [51] LATIN CAPITAL LETTER Q
[52]   [52] LATIN CAPITAL LETTER R                           [52] LATIN CAPITAL LETTER R
[53]   [53] LATIN CAPITAL LETTER S                           [53] LATIN CAPITAL LETTER S
[54]   [54] LATIN CAPITAL LETTER T                           [54] LATIN CAPITAL LETTER T
[55]   [55] LATIN CAPITAL LETTER U                           [55] LATIN CAPITAL LETTER U
[56]   [56] LATIN CAPITAL LETTER V                           [56] LATIN CAPITAL LETTER V
[57]   [57] LATIN CAPITAL LETTER W                           [57] LATIN CAPITAL LETTER W
[58]   [58] LATIN CAPITAL LETTER X                           [58] LATIN CAPITAL LETTER X
[59]   [59] LATIN CAPITAL LETTER Y                           [59] LATIN CAPITAL LETTER Y
[5A]   [5A] LATIN CAPITAL LETTER Z                           [5A] LATIN CAPITAL LETTER Z
[5B]   [5B] LEFT SQUARE BRACKET                              [5B] LEFT SQUARE BRACKET
